typeofaction,sourceid,destinationid,amountofmoney,date,isfraud,typeoffraud
cash-in,50953,89994,68265911,2019-05-30 12:13:00,1,type1
cash-in,50953,29384,68265911,2019-04-23 14:53:00,1,type1
cash-in,50953,37439,68265911,2019-07-10 10:02:00,1,type1
cash-in,50953,5616,68265911,2019-06-01 10:25:00,1,type1
cash-in,50953,69270,68265912,2019-03-18 14:37:00,1,type1
cash-in,50953,15552,68265912,2019-04-07 15:46:00,1,type1
cash-in,50953,48476,68265912,2019-06-23 10:07:00,1,type1
cash-in,50953,90646,68265912,2019-03-29 12:15:00,1,type1
cash-in,50953,87479,68265912,2019-04-28 14:38:00,1,type1
cash-in,50953,30870,68265912,2019-04-08 15:48:00,1,type1
cash-in,50953,29571,68265912,2019-06-04 12:47:00,1,type1
cash-in,9794,68285,6619928,2019-03-17 09:22:00,1,type1
cash-in,9794,27157,6619929,2019-06-11 10:42:00,1,type1
cash-in,9794,18053,6619929,2019-04-12 13:53:00,1,type1
cash-in,9794,24340,6619929,2019-04-05 13:14:00,1,type1
cash-in,9794,47018,6619929,2019-05-18 09:30:00,1,type1
cash-in,9794,58567,6619929,2019-07-08 11:32:00,1,type1
cash-in,9794,67149,6619929,2019-04-22 09:58:00,1,type1
cash-in,9794,57417,6619929,2019-07-04 10:12:00,1,type1
cash-in,9794,19219,6619929,2019-06-05 13:03:00,1,type1
cash-in,9794,40262,6619929,2019-03-04 14:47:00,1,type1
cash-in,9794,55209,6619929,2019-05-28 11:10:00,1,type1
cash-in,9794,94790,6619929,2019-05-25 13:04:00,1,type1
cash-in,9794,6556,6619929,2019-04-21 15:02:00,1,type1
cash-in,9794,18109,6619929,2019-05-15 15:06:00,1,type1
cash-in,9794,44682,6619929,2019-06-24 15:35:00,1,type1
cash-in,9794,59680,6619929,2019-06-10 09:38:00,1,type1
cash-in,9794,23693,6619929,2019-03-28 14:50:00,1,type1
cash-in,9794,75886,6619929,2019-05-21 10:13:00,1,type1
cash-in,9794,31442,6619929,2019-02-27 15:52:00,1,type1
cash-in,9794,63157,6619929,2019-04-04 08:35:00,1,type1
cash-in,9794,99912,6619929,2019-07-11 10:37:00,1,type1
cash-in,9794,94489,6619929,2019-06-03 10:00:00,1,type1
cash-in,9794,7883,6619929,2019-05-20 15:02:00,1,type1
cash-in,9794,48483,6619929,2019-06-03 09:47:00,1,type1
cash-in,9794,3766,6619929,2019-06-08 15:33:00,1,type1
cash-in,9794,52950,6619929,2019-05-10 13:45:00,1,type1
cash-in,9794,41226,6619929,2019-06-26 11:48:00,1,type1
