Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,isfraud
50953,,1,11,12,2,0.923077,0.958333,12,358,1
89994,,1,0,1,0,0,0,0,358,1
29384,,1,0,1,0,0,0,0,358,1
37439,,1,0,1,0,0,0,0,358,1
5616,,1,0,1,0,0,0,0,358,1
69270,,1,0,1,0,0,0,0,358,1
15552,,2,0,2,0,0,0,0,358,1
48476,,1,1,2,1,1,1,2,358,1
90646,,1,0,1,0,0,0,0,358,1
87479,,1,0,1,0,0,0,0,358,1
30870,,1,0,1,0,0,0,0,358,1
29571,,1,0,1,0,0,0,0,358,1
9794,,0,27,27,29,0.116505,0.516795,0,240,1
68285,,1,0,1,0,0,0,0,240,1
27157,,1,0,1,0,0,0,0,240,1
18053,,1,0,1,0,0,0,0,240,1
24340,,1,0,1,0,0,0,0,240,1
47018,,2,0,2,0,0,0,0,610,1
58567,,1,0,1,0,0,0,0,240,1
67149,,1,0,1,0,0,0,0,240,1
57417,,1,0,1,0,0,0,0,240,1
19219,,1,1,2,2,0.666667,0.75,2,240,1
40262,,1,0,1,0,0,0,0,240,1
55209,,1,0,1,0,0,0,0,240,1
94790,,1,0,1,0,0,0,0,240,1
6556,,1,0,1,0,0,0,0,240,1
18109,,1,0,1,0,0,0,0,240,1
44682,,1,0,1,0,0,0,0,240,1
59680,,1,0,1,0,0,0,0,240,1
23693,,1,0,1,0,0,0,0,240,1
75886,,2,1,3,28,0.068584,0.134132,279,33,1
31442,,1,0,1,0,0,0,0,240,1
63157,,2,0,2,0,0,0,0,240,1
99912,,1,0,1,0,0,0,0,240,1
94489,,1,0,1,0,0,0,0,240,1
7883,,1,0,1,0,0,0,0,240,1
48483,,1,0,1,0,0,0,0,240,1
3766,,1,0,1,0,0,0,0,240,1
52950,,1,0,1,0,0,0,0,240,1
41226,,1,0,1,0,0,0,0,240,1
57175,,0,24,24,7,0.555556,0.793129,0,688,1
10263,,1,0,1,0,0,0,0,688,1
2789,,1,0,1,0,0,0,0,688,1
18317,,2,0,2,0,0,0,0,16,1
31899,,1,0,1,0,0,0,0,688,1
15707,,2,1,3,2,0.666667,0.75,4,688,1
3736,,1,0,1,0,0,0,0,688,1
58580,,1,0,1,0,0,0,0,688,1
33869,,1,0,1,0,0,0,0,688,1
96124,,1,2,3,6,0.318182,0.492857,7,69,1
88964,,1,0,1,0,0,0,0,688,1
69146,,1,0,1,0,0,0,0,688,1
69240,,1,0,1,0,0,0,0,688,1
85111,,1,0,1,0,0,0,0,688,1
7916,,1,0,1,0,0,0,0,688,1
