Id,Degree,Eccentricity,closnesscentrality,betweenesscentrality,modularity_class
50953,12,2,0.923077,12,184
89994,1,0,0,0,184
29384,1,0,0,0,184
37439,1,0,0,0,184
5616,1,0,0,0,184
69270,1,0,0,0,184
15552,2,0,0,0,184
48476,2,1,1,2,184
90646,1,0,0,0,184
87479,1,0,0,0,184
30870,1,0,0,0,184
29571,1,0,0,0,184
9794,27,29,0.116505,0,11
68285,1,0,0,0,11
27157,1,0,0,0,11
18053,1,0,0,0,11
24340,1,0,0,0,11
47018,2,0,0,0,205
58567,1,0,0,0,11
67149,1,0,0,0,11
57417,1,0,0,0,11
19219,2,2,0.666667,2,11
40262,1,0,0,0,11
55209,1,0,0,0,11
94790,1,0,0,0,11
6556,1,0,0,0,11
18109,1,0,0,0,11
44682,1,0,0,0,11
59680,1,0,0,0,11
23693,1,0,0,0,11
75886,3,28,0.068584,279,43
31442,1,0,0,0,11
63157,2,0,0,0,11
99912,1,0,0,0,11
94489,1,0,0,0,11
7883,1,0,0,0,11
48483,1,0,0,0,11
3766,1,0,0,0,11
52950,1,0,0,0,11
41226,1,0,0,0,11
57175,24,7,0.555556,0,414
10263,1,0,0,0,414
2789,1,0,0,0,414
18317,2,0,0,0,25
31899,1,0,0,0,414
15707,3,2,0.666667,4,414
3736,1,0,0,0,414
58580,1,0,0,0,414
33869,1,0,0,0,414
96124,3,6,0.318182,7,414
88964,1,0,0,0,414
69146,1,0,0,0,414
69240,1,0,0,0,414
85111,1,0,0,0,414
7916,1,0,0,0,414
74304,1,0,0,0,414
92957,1,0,0,0,414
65003,1,0,0,0,414
74698,1,0,0,0,414
76083,2,0,0,0,414
84610,3,2,0.666667,8,18
57988,1,0,0,0,414
2921,1,0,0,0,414
49717,1,0,0,0,414
21170,1,0,0,0,414
41303,21,2,0.956522,0,0
56599,1,0,0,0,0
59859,1,0,0,0,0
87040,1,0,0,0,0
32078,1,0,0,0,0
24642,1,0,0,0,0
6023,1,0,0,0,0
7365,1,0,0,0,0
85313,1,0,0,0,0
10758,2,0,0,0,0
48255,2,1,1,1,0
1734,1,0,0,0,0
23380,1,0,0,0,0
31080,1,0,0,0,0
35232,1,0,0,0,0
10106,2,0,0,0,0
91303,1,0,0,0,0
66304,1,0,0,0,0
1115,1,0,0,0,0
45716,1,0,0,0,0
60699,1,0,0,0,0
96785,1,0,0,0,0
94160,11,26,0.099448,72,25
91113,1,0,0,0,25
51748,1,0,0,0,25
86897,1,0,0,0,25
5128,3,25,0.076923,125,25
4729,1,0,0,0,25
4088,1,0,0,0,25
29945,1,0,0,0,25
46650,10,1,1,0,1
45126,1,0,0,0,1
96521,1,0,0,0,1
41504,1,0,0,0,1
77964,1,0,0,0,1
42181,1,0,0,0,1
16579,1,0,0,0,1
41407,2,0,0,0,1
11735,1,0,0,0,1
26531,1,0,0,0,1
14337,13,3,0.8,0,698
34919,1,0,0,0,698
14122,1,0,0,0,698
96136,1,0,0,0,698
83542,1,0,0,0,698
40692,1,0,0,0,698
18417,2,0,0,0,698
83422,1,0,0,0,698
99234,1,0,0,0,698
17643,1,0,0,0,698
29217,1,0,0,0,698
98945,17,4,0.676471,23,111
17156,1,0,0,0,111
12336,2,0,0,0,111
56564,1,0,0,0,111
8886,1,0,0,0,111
60348,1,0,0,0,111
57767,1,0,0,0,111
86290,1,0,0,0,111
92568,1,0,0,0,111
89586,2,1,1,2,111
38452,1,0,0,0,111
43634,1,0,0,0,111
73838,1,0,0,0,111
38105,2,3,0.5,6,111
1382,1,0,0,0,111
76061,1,0,0,0,111
49617,14,6,0.542857,19,133
4706,1,0,0,0,133
56953,1,0,0,0,133
91515,1,0,0,0,133
78037,1,0,0,0,133
50689,1,0,0,0,133
1697,1,0,0,0,133
35324,1,0,0,0,133
16525,1,0,0,0,133
82085,1,0,0,0,133
42206,2,1,1,2,133
85481,1,0,0,0,133
72883,1,0,0,0,133
99248,13,1,1,0,2
67938,1,0,0,0,2
73213,1,0,0,0,2
429,1,0,0,0,2
89022,1,0,0,0,2
54612,1,0,0,0,2
96138,1,0,0,0,2
2985,1,0,0,0,2
14966,1,0,0,0,2
37768,1,0,0,0,2
50655,1,0,0,0,2
92355,1,0,0,0,2
38923,1,0,0,0,2
53021,1,0,0,0,2
51726,20,17,0.206751,49,414
49910,1,0,0,0,414
56221,2,0,0,0,414
97540,1,0,0,0,414
90664,1,0,0,0,414
49527,2,16,0.117647,32,105
89214,1,0,0,0,414
95950,2,1,1,2,414
21719,1,0,0,0,414
13813,1,0,0,0,414
